csvNORAD_ID,TLE_LINE1,TLE_LINE2
90184U,1 90184U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90184  95.4811 239.8424 0005921 126.1971 352.9923 15.344867114
90185U,1 90185U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90185  98.5560 215.2942 0008348 232.3845 331.2660 15.384621055
90186U,1 90186U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90186  95.5862 339.1513 0006826 208.5877  70.6385 15.297265756
90187U,1 90187U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90187  95.3546 139.5011 0002257 114.3871  95.1655 15.301172637
90188U,1 90188U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90188  95.0658 332.9060 0008407 190.6959 102.1670 15.264917458
90189U,1 90189U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90189  97.5686  22.1265 0004055  50.1425 180.6032 15.358592949
90190U,1 90190U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90190  98.0301 283.9901 0001693  25.7323 164.2797 15.326658090
90191U,1 90191U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90191  98.9012 268.1399 0003521 178.3900 168.6948 15.332002891
90192U,1 90192U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90192  95.9510  17.0848 0009052 256.3409 213.4745 15.269360952
90193U,1 90193U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90193  97.0830  83.3122 0007802 328.4452  46.7844 15.311695903
90194U,1 90194U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90194  98.4437 215.6905 0003492  57.9165 289.3761 15.366021564
90195U,1 90195U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90195  98.2590 249.2872 0002044 102.4163 349.4803 15.349873735
90196U,1 90196U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90196  95.4664 262.6884 0004372 202.0128   7.3436 15.284622626
90197U,1 90197U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90197  96.5636  89.1141 0009376 337.9540 151.9095 15.313436187
90198U,1 90198U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90198  95.5387   5.7143 0006877 313.6771  10.8319 15.242228458
90199U,1 90199U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90199  95.8155  49.4896 0004269 248.3679 144.6240 15.326243319
90200U,1 90200U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90200  97.8421 105.5134 0007788  70.1913 306.2054 15.224281070
90201U,1 90201U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90201  96.3186  10.2095 0001482 171.4519 348.7618 15.244294131
90202U,1 90202U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90202  95.7042   7.6290 0009626 152.1621 174.5889 15.305673942
90203U,1 90203U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90203  98.5155 298.1977 0007209 269.7144  99.8899 15.320315943
90204U,1 90204U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90204  98.0453 168.4353 0004663 259.4915 263.9649 15.381811724
90205U,1 90205U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90205  96.2079 181.7749 0004392  13.6743  57.4572 15.294870805
90206U,1 90206U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90206  95.5858 358.6269 0001860  56.5178 182.6298 15.321057636
90207U,1 90207U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90207  97.1855 272.3167 0006719 180.9771  94.7501 15.324448587
90208U,1 90208U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90208  95.2287 315.2381 0008382 285.5831 222.7827 15.376953648
90209U,1 90209U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90209  95.7707 104.3878 0002308  67.2346 177.8857 15.382608469
90210U,1 90210U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90210  96.2932 344.8387 0004729  67.8589 138.7658 15.379929530
90211U,1 90211U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90211  98.1498   8.8482 0006378 341.4660 194.5680 15.291018351
90212U,1 90212U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90212  97.5139 146.3139 0008001 190.1771  38.7376 15.372561572
90213U,1 90213U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90213  95.2691  64.5625 0007694 251.1396 175.2811 15.229746593
90214U,1 90214U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90214  95.7828 236.6792 0003935 239.9435  61.8054 15.381364344
90215U,1 90215U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90215  96.7357  75.7635 0007845  76.4308  54.1746 15.316359705
90216U,1 90216U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90216  96.1554 180.1744 0005146  12.8094 234.2108 15.286311036
90217U,1 90217U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90217  95.3007 327.0048 0001371 329.2617 161.8075 15.345599917
90218U,1 90218U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90218  96.7004  10.0544 0005746 183.2838 268.5234 15.301789808
90219U,1 90219U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90219  97.5404  44.6735 0003061 247.4752  34.5763 15.276057829
90220U,1 90220U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90220  98.6304 169.2120 0003754 168.2008  65.9542 15.252273090
90221U,1 90221U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90221  97.7374 300.9158 0004290 276.2830 148.0457 15.307148181
90222U,1 90222U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90222  97.7336 350.1588 0009416 287.3671 105.7144 15.240082132
90223U,1 90223U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90223  96.1114 194.9623 0003002 335.9829 332.3287 15.316767893
90224U,1 90224U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90224  96.5704 127.9700 0004129  92.4547 208.2174 15.265958824
90225U,1 90225U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90225  95.8596 111.7157 0003509 334.7705 347.9271 15.328303715
90226U,1 90226U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90226  96.1231  46.8105 0008820 232.0293 227.4216 15.251579936
90227U,1 90227U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90227  97.1744 298.0948 0006993 350.8109 182.0586 15.297604567
90228U,1 90228U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90228  97.4638 323.5952 0007801 203.7774  79.9760 15.300664188
90229U,1 90229U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90229  95.2215 237.5051 0004456  48.3557  43.4793 15.255439589
90230U,1 90230U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90230  96.3006  42.6456 0009313 103.8061  68.4486 15.279507080
90231U,1 90231U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90231  95.8720 172.4544 0003286   2.3953 239.3858 15.243562081
90232U,1 90232U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90232  95.5529   7.5443 0005531 244.9297 297.5613 15.377061222
90233U,1 90233U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90233  97.3608 107.0550 0001330  56.5677  61.5571 15.303779883
90234U,1 90234U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90234  98.9364 300.9973 0009061 250.8207  13.2304 15.221981684
90235U,1 90235U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90235  95.2848   5.0508 0003568 269.1075 240.9519 15.261645615
90236U,1 90236U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90236  97.4137 297.2839 0009002  78.6779 149.5204 15.316349436
90237U,1 90237U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90237  97.5762   8.4204 0006989 221.6080  39.9619 15.363777247
90238U,1 90238U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90238  97.3807 256.5211 0004080  16.2469 263.4407 15.278261928
90239U,1 90239U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90239  96.0159 185.0866 0008133 239.5280   3.2107 15.316921949
90240U,1 90240U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90240  95.5549  77.6387 0003508  28.9693  51.9883 15.317228180
90241U,1 90241U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90241  96.0058 286.2762 0006235 210.4743 313.5172 15.316154091
90242U,1 90242U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90242  95.2647 152.1288 0002579 132.1694 257.1191 15.303127492
90243U,1 90243U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90243  98.4566 206.4799 0001928 178.4681  65.3513 15.277037173
90244U,1 90244U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90244  96.9631  44.9321 0004143  56.9130 159.5552 15.296200764
90245U,1 90245U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90245  97.3130 208.0801 0004515  59.9828 128.5875 15.369075755
90246U,1 90246U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90246  95.3216 225.2289 0004382 224.4197  75.2072 15.312687176
90247U,1 90247U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90247  97.2108  26.3989 0005536 172.7522 170.3098 15.318865837
90248U,1 90248U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90248  96.2115 356.8874 0002633 181.9276 153.9614 15.311266938
90249U,1 90249U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90249  98.6536 344.6461 0005936  41.7720 353.7660 15.224817119
90250U,1 90250U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90250  95.9593 124.4199 0004704 189.2053 275.1075 15.266762560
90251U,1 90251U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90251  98.0959 167.1484 0003366 229.0286 240.1909 15.372346671
90252U,1 90252U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90252  97.7149 299.8860 0006163 165.2022 316.1524 15.219867832
90253U,1 90253U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90253  96.2193 342.3530 0002144  86.8205 340.4208 15.294536383
90254U,1 90254U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90254  95.3871 335.8444 0003257 115.2839  24.8650 15.241851644
90255U,1 90255U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90255  98.9702 333.0305 0008210 321.9312 237.8047 15.347435635
90256U,1 90256U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90256  98.8201  52.8267 0005272 236.6480 233.2435 15.313082356
90257U,1 90257U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90257  96.9706  57.2709 0001920 133.8923  44.6320 15.312133407
90258U,1 90258U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90258  96.9022 288.9084 0007267 241.4623 259.0167 15.326758618
90259U,1 90259U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90259  97.5184 215.4834 0008692  86.9995 129.6750 15.329525849
90260U,1 90260U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90260  96.7592 245.9775 0007821 174.6592 357.9180 15.264853560
90261U,1 90261U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90261  96.0596   9.2515 0002367 356.1310  42.0063 15.334604881
90262U,1 90262U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90262  98.3206 187.8161 0008501 319.5539 176.5694 15.249602452
90263U,1 90263U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90263  98.6237 257.5706 0001504 228.5530 352.9262 15.233615643
90264U,1 90264U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90264  97.0681 119.1250 0008146 241.1664 172.8340 15.226903254
90265U,1 90265U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90265  97.0017  45.1181 0003120 246.0138  66.1846 15.259615845
90266U,1 90266U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90266  97.5075   2.7167 0007101 230.9645 129.8740 15.326918596
90267U,1 90267U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90267  97.4707 294.4023 0008300 105.4721 265.7262 15.385999137
90268U,1 90268U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90268  95.8634 271.5338 0003198 257.6799  42.0446 15.385267548
90269U,1 90269U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90269  97.7653 356.4433 0003031  70.7457   5.0332 15.306337329
90270U,1 90270U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90270  95.6958 214.7218 0005164 123.3514  48.3520 15.219401700
90271U,1 90271U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90271  95.4519 127.1355 0004712  85.8593  80.0351 15.384685441
90272U,1 90272U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90272  97.2498 182.7055 0002546 195.3700  20.0048 15.377774542
90273U,1 90273U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90273  97.0026 158.6541 0008962 178.4900 340.6715 15.272636783
90274U,1 90274U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90274  96.9821  97.7418 0008533 177.4637   5.6010 15.250170424
90275U,1 90275U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90275  98.5583  50.5574 0009808 335.5787 104.0689 15.228276195
90276U,1 90276U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90276  95.2058 173.7571 0003168 256.9322 244.5129 15.288122906
90277U,1 90277U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90277  95.1069  20.3082 0004442 236.7525  14.7315 15.253984767
90278U,1 90278U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90278  95.1850 144.6213 0007225  81.0682 258.2240 15.269116798
90279U,1 90279U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90279  96.6479 257.1885 0009975 322.3155 108.3920 15.259467729
90280U,1 90280U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90280  97.1290 172.1174 0002245 232.3742 105.6541 15.231083540
90281U,1 90281U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90281  98.0817 337.1157 0009767 223.3427 319.6585 15.329294511
90282U,1 90282U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90282  95.4142 320.2421 0003192 352.0384  65.5343 15.290475952
90283U,1 90283U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90283  97.0248 232.5849 0004260 316.7373 136.2470 15.295126743
90284U,1 90284U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90284  95.4950 111.3673 0008125 278.0692 124.7191 15.306468134
90285U,1 90285U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90285  98.0017 107.8834 0003417 256.0394 290.6601 15.256961215
90286U,1 90286U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90286  95.2351 306.7429 0008280 141.2589  78.6558 15.341298036
90287U,1 90287U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90287  98.4584  10.1094 0009146  55.3443 272.8956 15.280535287
90288U,1 90288U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90288  97.4675 226.4794 0008609 256.5638  89.5406 15.326542568
90289U,1 90289U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90289  98.8139 148.7420 0004825  35.9574 180.9267 15.345814229
90290U,1 90290U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90290  96.1708 240.4824 0008208  80.1244 345.0554 15.328187350
90291U,1 90291U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90291  98.4797 176.1701 0004355 232.7037 349.1110 15.346217921
90292U,1 90292U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90292  97.4532  42.9204 0005857 146.5546 332.2411 15.227021272
90293U,1 90293U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90293  98.4410   3.4168 0008337 252.2652 236.3476 15.263688633
90294U,1 90294U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90294  97.9630 121.9575 0007810 269.0936  35.2311 15.234021064
90295U,1 90295U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90295  98.8434 302.2496 0001006  44.7306  74.4254 15.256337155
90296U,1 90296U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90296  97.8918 359.8576 0009475 232.9771 112.4576 15.287482106
90297U,1 90297U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90297  97.8001  93.6636 0005430 198.3087 295.2538 15.322183847
90298U,1 90298U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90298  95.7632 255.9732 0007778 249.7271 131.0133 15.349695878
90299U,1 90299U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90299  98.5790 296.6018 0006793 150.0055  72.3155 15.325213159
90300U,1 90300U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90300  97.7383 125.9596 0004418 146.1749 336.9117 15.311277900
90301U,1 90301U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90301  97.4163 358.4955 0001923 343.2399 133.3423 15.298557171
90302U,1 90302U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90302  95.9578 164.0298 0005197 170.5166 106.6230 15.280015262
90303U,1 90303U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90303  98.4737  34.5362 0007323  86.1793 172.4278 15.232024843
90304U,1 90304U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90304  97.2658 105.8470 0008047 164.4185 303.6608 15.335926594
90305U,1 90305U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90305  97.9184  85.7865 0009331 195.1429 177.7648 15.295729545
90306U,1 90306U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90306  98.4554  61.7921 0008184 225.9269  11.1849 15.260715706
90307U,1 90307U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90307  97.8322 103.2973 0002255  49.3824 335.1624 15.351642167
90308U,1 90308U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90308  98.2229 273.2487 0001708 197.3052 297.2623 15.315775218
90309U,1 90309U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90309  95.2921 103.7327 0006106 120.7760 130.1248 15.231577769
90310U,1 90310U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90310  96.1785 281.8320 0004321 300.3020 224.5253 15.340507260
90311U,1 90311U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90311  95.0233 152.7182 0009489 189.7377 286.1251 15.322771611
90312U,1 90312U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90312  98.4221 300.5961 0005021 302.2579 237.7746 15.244848452
90313U,1 90313U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90313  95.1491 165.0923 0001899 304.9494 259.9924 15.346037423
90314U,1 90314U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90314  97.9389 181.6351 0009954 180.0088 110.1940 15.328077224
90315U,1 90315U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90315  98.8820 347.3438 0001885  62.5302  84.2080 15.242128525
90316U,1 90316U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90316  98.2434  51.1465 0002788 144.2147 171.9540 15.350799736
90317U,1 90317U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90317  95.4571 137.3474 0009086  54.6448  26.1894 15.333514307
90318U,1 90318U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90318  97.0477 345.5208 0009331 266.9692 312.9361 15.261123288
90319U,1 90319U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90319  95.3776  49.6956 0005731 240.9594 236.2099 15.302609619
90320U,1 90320U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90320  97.7831  42.6183 0003078 313.7941  91.3292 15.233202770
90321U,1 90321U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90321  98.9709 173.5562 0007577 158.3727 215.5400 15.345716391
90322U,1 90322U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90322  98.0029 308.4008 0004218 136.1645  65.8868 15.293756722
90323U,1 90323U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90323  98.5964 326.2069 0005004 116.4425 113.2888 15.306567573
90324U,1 90324U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90324  98.1319  48.6019 0008200 167.6938   4.4154 15.237501924
90325U,1 90325U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90325  97.1570  66.1271 0006955 101.1657 189.3549 15.376358005
90326U,1 90326U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90326  95.9751 153.8862 0009155  48.3398 291.2688 15.326885286
90327U,1 90327U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90327  95.8896 300.1962 0006445 178.4507  34.8242 15.368333157
90328U,1 90328U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90328  98.0031 316.5496 0004110  87.9400  67.9982 15.222696498
90329U,1 90329U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90329  96.0251 296.2595 0002475 163.3769 200.4059 15.298978129
90330U,1 90330U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90330  98.3093 159.3881 0007646 126.8806 249.0585 15.275931740
90331U,1 90331U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90331  96.1364 259.7381 0005809 319.0756  46.1825 15.368714721
90332U,1 90332U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90332  96.9353 322.0010 0009207 177.3542  51.0696 15.309101112
90333U,1 90333U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90333  95.3018 327.6221 0003849 215.2858 356.3047 15.278651203
90334U,1 90334U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90334  95.9946 227.3098 0001273 322.6949 101.8854 15.358768234
90335U,1 90335U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90335  98.7458  88.5033 0006384 342.6646  67.1964 15.320236185
90336U,1 90336U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90336  95.3803 252.9214 0005833 143.7450 184.9910 15.270954266
90337U,1 90337U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90337  98.1193 308.6206 0005012 232.3806  69.5813 15.355311687
90338U,1 90338U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90338  97.3423 215.6171 0003164  70.1513 344.2395 15.365634198
90339U,1 90339U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90339  95.4201 115.2370 0004596 283.2173 154.1881 15.267230649
90340U,1 90340U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90340  97.0025 185.4121 0009208 180.3301 303.2009 15.296720170
90341U,1 90341U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90341  95.2465 308.4178 0003096  83.0688 217.4975 15.281105311
90342U,1 90342U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90342  98.4898 265.6953 0007630 238.0238 279.4226 15.262519922
90343U,1 90343U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90343  98.5287 235.7527 0006635  43.2423 233.9990 15.231012673
90344U,1 90344U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90344  97.7771 213.6497 0005672 341.7358 105.4884 15.234064584
90345U,1 90345U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90345  98.8427 152.4262 0006649  59.0269  75.9432 15.343087335
90346U,1 90346U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90346  97.1550 346.9618 0003716 339.5581 117.1147 15.272402386
90347U,1 90347U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90347  97.3834  76.2044 0007239   4.9558  92.0601 15.261730037
90348U,1 90348U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90348  96.3723 192.9698 0006843 342.8012 238.3231 15.247838478
90349U,1 90349U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90349  98.5750 311.6468 0005187 166.2931 204.8845 15.334734919
90350U,1 90350U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90350  96.9006 330.7241 0006104 247.8179 145.1889 15.282837960
90351U,1 90351U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90351  97.3405 342.2633 0003704  66.5683 228.9261 15.247160151
90352U,1 90352U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90352  98.5761   2.4153 0001145 186.8246 217.5324 15.322280752
90353U,1 90353U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90353  96.8396 281.0069 0005990 169.0151 356.7784 15.257451423
90354U,1 90354U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90354  95.9416 110.8900 0005429 143.7514 263.4276 15.251967964
90355U,1 90355U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90355  97.9025   4.4639 0004792  53.0927 147.1868 15.293309395
90356U,1 90356U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90356  95.5975 224.4303 0008801 163.5028 246.4361 15.290651836
90357U,1 90357U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90357  97.0630  55.4529 0004607 263.4426  46.0079 15.358567717
90358U,1 90358U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90358  97.6989 133.0181 0001090 210.7532 141.1607 15.283197288
90359U,1 90359U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90359  96.6732 156.0193 0001278 220.3449 300.5281 15.224267829
90360U,1 90360U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90360  97.2065  97.6064 0006212 326.9648 276.9923 15.315040260
90361U,1 90361U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90361  96.4099 160.7409 0002709 337.4845 291.7968 15.332562871
90362U,1 90362U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90362  98.2893 183.1448 0006548  67.3486  58.3733 15.303291572
90363U,1 90363U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90363  96.2113 318.8012 0006576  22.2465 297.9330 15.316153513
90364U,1 90364U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90364  97.3340 273.5128 0001738 350.2207   6.8448 15.334916944
90365U,1 90365U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90365  95.3667 318.8839 0006819 185.7235 152.4945 15.221696385
90366U,1 90366U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90366  96.3119 333.3747 0001460 191.3437  76.7049 15.299485246
